metabolite,peak,shifts,mod,upper,not_peak
Glucose,4.6277,"[0, 1, 0, -1, 1, 0, 0, -1, 1, 0, 0, -2, -2, -3, 0, -2, 0, 0, -2, 0, 1, -3, -2, 1, -1, 0, 0, 0, -2, -2, -2, 1, 1, -3, -3, -2, 0, -2, -2, -3, -4, -2, -2, 0, -2, -4, -4, -3, -2, 1, -1, 0]",0,"[0, -0.0019149353700140437, 0.0027375790771753533, -0.00032066866850301474, 0.050617220936049645, -0.0028198581481161137, 0.010639528509146925, 0.006507068258589401, 0.0013141312405378783, 0.004027247112977708, 0.0006478032700494626, 0.0025772267521260803, 0.0002448626611837408, -0.0009389276898200257, -0.001867864597925427, 0.002123498839451921, -0.011649744313788726, -0.004724802611505568, 0.003841137336407334, -0.002906135902631753, -0.0033664939312090083, -0.004175408476515529, -0.004679016753988136, -0.0005401189420514165, 0.006143431333986028, -0.00382604702941049, -0.013228043335477467, -0.005836067046720407, -0.0028235281309416937, 0.00866207352798736, -0.00307636922446077, 0.0004745873829713346, 0.004387676630136592, 7.198441941905567e-05, -0.0015247717343658518, -0.0008882332425727175, -0.0019740442915501142, -0.0017290907545915984, -0.0023593031769035652, 6.573798868451768e-05, 2.620321187069702e-05, -0.0015501197359384451, -0.000931478617290048, -0.0024243827882915406, 0.0026415674951136107, -0.001461138814906243, 0.0050036172223941675, -0.0007645827265608247, 0.0004465169382927899, -0.03074780380190125, 0.025739116110501913, -0.0016584696141680004]",0
Glutamine,2.431,0,0,0,0
Glycerol,3.63,"[0, 5, 3, 3, 21, 1, 3, 3, 3, 3, 2, 1, 1, 1, 4, 2, 3, 4, 1, 20, 4, 1, 0, 4, 3, 0, 1, 2, 2, 0, 5, 4, 4, 0, 1, 0, 4, 2, 1, 1, 0, 2, 2, 3, 1, 0, 0, 0, 2, 4, 1, 4]",0,"[0, 0.0009256969237726731, 0.06734537614125882, 0.06274939413217631, -0.13630593875875574, 0.022365447565015018, 0.052812610882833816, 0.045108066855137074, 0.034724627945563774, 0.0015256081955755951, 0.042506989267427964, 0.000247682866508947, 0.058964088003084336, 0.0355717341389849, 0.07047161783691319, 0.07231701643290633, 0.0375967881014308, 0.07669096183415461, 0.05184104603474368, -0.13630593875875574, -0.0023392654205886265, 0.029982612092546046, -0.0013810318423344847, 0.013013047409727474, 0.03940849937054228, 0.03587755206049603, 0.02933516753313184, 0.04091074127704322, 0.023318411343219603, 0.009084248993988159, -0.011971806766177762, 0.0872201307741865, 0.040484229761912655, 0.016559626922340143, 0.045196707817165865, 0.053235824352055705, 0.04716391108370316, 0.03959425605250835, 0.044770359337058835, 0.027227974324033594, 0.011836497470115365, 0.05010557706400054, 0.03444735394293849, 0.03895172461501917, 0.03792528438521711, 0.04718445051456949, 0.029610547210661115, 0.015286515939955642, 0.03915060408937257, 0.05709195739592343, 0.04174982991102688, 0.001631669746582215]",0
Glycine,3.5434,"[0, 1, 0, 0, 1, 1, 0, -1, 0, 0, 0, -2, -2, -3, 0, -1, -1, 0, -2, -2, -1, -4, -3, 0, -1, -2, 0, -2, -2, -3, -3, -1, 0, -5, -2, -1, 0, -3, -2, -4, -4, -2, -3, -1, -3, -5, -3, -4, -2, 0, -3, 1]",0,"[0, 0.0031993483008051216, 0.034290001322111796, 0.046540624931489666, 0.039234751940407056, 0.01943004676229733, 0.030175068039347608, 0.02361322484629666, 0.02043221897600052, 0.006848314903135519, 0.02737458623029193, 0.001374190674638981, 0.022566239818376715, 0.011732841612660388, 0.012501523861142463, 0.01994436410222132, -0.0031350065733815463, 0.014113487629570126, 0.04031992626934851, 0.02013425104648836, 0.024316478307487538, 0.01504510202002625, 0.011703217169081515, 0.02216278307333784, 0.02450665167512167, 0.03262221198189327, 0.03433363018016945, 0.034340601762999884, 0.019695811631084872, 0.0034342412674725487, 0.0013358423581261436, 0.03532700940209217, 0.026400899461911306, -0.0002762812350802779, 0.018562613693061836, 0.030668516935920778, 0.035368883668692896, 0.005212374594764799, 0.011389375113322928, 0.006561515249094638, -0.0006983785544011634, 0.013726240516389945, 0.006439786666757222, 0.016708112038855763, 0.012499761644676768, 0.004105299046714778, 0.0013104432395216747, -0.0017989638834672167, 0.016400708938207956, 0.030048536481570992, 0.008422199291910404, 0.0010901296219504863]",0
Histidine,7.0455,0,0,0,0
Isoleucine,0.9908,0,0,0,0
Lactate,1.309,0,0,0,0
Leucine,0.937,0,0,0,0
Lysine,1.7154,0,0,0,0
Methionine,2.628,0,0,0,0
